,ativo,precoDia,min52,max52,Dividend,Val12%,P/VP,P/L,P/Ebitda,P/Ebit,P/Ativo,EV/Ebitda,EV/EBIT,PSR,P/Cap.Giro,P/Ativo Circ Liq,Margem Bruta%,Margem Ebitda%,Margem Ebit%,Margem Líquida%,Giro Ativos,ROE%,ROA%,ROIC%,LPA,VPA,Dívida Líq/Patrim,Dívida Líq/EBITDA,Dívida Líq/EBIT,Patrim / Ativos,Passivos / Ativos,Liquidez Corrente,CAGR Receitas 5 Anos,CAGR Lucros 5 Anos
0,RANI4,"5,29","2,55","11,60",0.43,0.8368000000000001,2.62,0.0,"3,99","4,30","0,56","5,48","5,91","0,98","12,02","12,02",0.2986,0.2462,0.22820000000000001,-0.0886,"0,57",-0.2365,-0.0504,0.127,"-0,48","2,02","2,16","3,29","3,55","0,21","0,79","1,17","3,45 %",- %
1,BDLL4,"6,50","6,01","22,00",0.0,-0.5357,0.83,0.0,"-0,14","-0,12","0,01","-3,29","-2,95","0,19","-0,06","-0,06",-0.3098,-1.4028,-1.5633000000000001,-1.9335,"0,06",-8.3133,-0.1249,-0.35479999999999995,"-65,41","7,87","18,15","-3,01","-2,70","0,02","0,98","0,62","-27,84 %",- %
2,HOOT4,"1,81","1,55","4,09",0.0,-0.047400000000000005,0.0,0.0,"-0,32","-0,31","0,07","-0,13","-0,13","0,37","-0,06","-0,06",0.6570999999999999,-1.1261,-1.172,-1.5019,"0,19",0.35590000000000005,-0.2861,0.284,"-7,44","-20,89",-,"0,01","0,01","-0,80","1,80","0,04","-8,87 %",- %
3,RANI3,"2,70","2,46","6,80",0.84,-0.0037,1.34,0.0,"2,03","2,19","0,29","5,48","5,91","0,50","6,14","6,14",0.2986,0.2462,0.22820000000000001,-0.0886,"0,57",-0.2365,-0.0504,0.127,"-0,48","2,02","2,16","3,29","3,55","0,21","0,79","1,17","3,45 %",- %
4,JBDU3,"1,94","1,87","7,98",0.0,-0.7229000000000001,0.14,0.0,-,"-0,39","0,05",-,"-0,47",-,"-0,31","-0,31",-90000.0,-90000.0,-90000.0,-90000.0,"0,00",-0.2206,-0.0785,-0.48450000000000004,"-2,99","13,56","0,07",-,"-0,19","0,36","0,64","0,00",- %,- %
5,ENGI4,"6,05","5,90","11,78",1.98,-0.0049,1.7,20.83,-,"4,69","0,28",-,"11,74","0,55","4,72","4,72",0.1634,-90000.0,0.1177,0.0265,"0,51",0.0816,0.0134,0.08,"0,29","3,56","2,23",-,"6,16","0,16","0,84","1,31","10,32 %","8,45 %"
6,LUPA3,"1,22","0,94","3,07",0.0,-0.2375,0.31,0.0,-,"-1,48","0,06",-,"-8,39","0,93","0,26","0,26",0.0006,-90000.0,-0.6325,-0.8011,"0,06",-0.26289999999999997,-0.0519,-0.08380000000000001,"-1,05","3,98","1,44",-,"-6,92","0,20","0,80","2,69","-34,37 %",- %
7,KLBN3,"3,43","2,58","4,87",5.03,-0.2957,2.85,25.97,"5,08","7,34","0,53","8,85","12,80","1,81","1,76","1,76",0.33299999999999996,0.3558,0.24600000000000002,0.0696,"0,30",0.1099,0.0206,0.07769999999999999,"0,13","1,20","2,21","3,93","5,68","0,19","0,81","4,40","12,55 %",- %
8,SUZB3,"39,80","25,00","44,94",2.23,-0.1134,3.0,0.0,-,"20,61","0,55",-,"41,26","2,08","7,32","7,32",0.2026,-90000.0,0.10099999999999999,-0.1082,"0,27",-0.15560000000000002,-0.0287,0.0165,"-2,07","13,29","3,00",-,"20,65","0,18","0,82","1,65","20,53 %",- %
9,AFLT3,"5,93","4,38","32,72",1.78,0.10220000000000001,1.75,14.81,-,"14,99","1,66",-,"12,96","9,69","5,25","5,25",0.6631999999999999,-90000.0,0.6463,0.654,"0,17",0.11779999999999999,0.1119,0.1061,"0,40","3,40","-0,24",-,"-2,02","0,95","0,05","18,09","7,09 %","14,86 %"
10,BRFS3,"15,26","13,01","40,50",0.0,-0.3663,1.52,41.68,"3,50","4,20","0,30","7,45","8,93","0,37","7,20","7,20",0.2415,0.1058,0.0883,0.0089,"0,80",0.0365,0.0070999999999999995,0.1056,"0,37","10,03","1,71","3,94","4,73","0,20","0,80","1,13","0,76 %","-37,55 %"
11,AZEV3,"3,22","2,50","24,45",0.0,-0.863,0.0,0.0,"-0,23","-0,22","316,65","-0,55","-0,53","0,71","-0,11","-0,11",-1.5965,-3.1617,-3.2952,-5.331799999999999,"444,50",0.5903,-2370.0217000000002,0.6163000000000001,"-24,10","-40,83",-,"-0,39","-0,37","-4.015,01","5.015,01","0,11","-31,81 %",- %
12,TXRX4,"4,93","2,11","15,02",0.0,1.0628,0.0,0.98,-,"0,85","0,11",-,"9,47","0,20","-0,08","-0,08",0.3155,-90000.0,0.23550000000000001,0.20379999999999998,"0,57",-0.0735,0.1161,-0.2889,"5,03","-68,41",-,-,"8,31","-1,58","2,58","0,18","6,60 %",- %
13,IDNT3,"1,93","1,85","4,99",0.0,-0.3345,1.72,5.8,-,"8,11","0,50",-,"7,25",-,"45,26","45,26",-90000.0,-90000.0,-90000.0,-90000.0,"0,00",0.2964,0.08539999999999999,0.0692,"0,33","1,12","-0,18",-,"-0,86","0,29","0,71","1,16",- %,- %
